Country,City,HijriYear,HijriMonth,HijriMonthName,GregorianStartDate,GregorianYear,Authority,Method,SourceURL,ConfidenceScore,Notes,RecordId
Saudi Arabia,Makkah,1400,1,Muharram,,,,,,,,6ce00a8bc0273ed3
Saudi Arabia,Makkah,1400,2,Safar,,,,,,,,49ac20d653a1caf2
Saudi Arabia,Makkah,1400,3,Rabi al-Awwal,,,,,,,,637a424494b90ee6
Saudi Arabia,Makkah,1400,4,Rabi al-Thani,,,,,,,,e41bec13ae304ba7
Saudi Arabia,Makkah,1400,5,Jumada al-Ula,,,,,,,,a6a4e4c34b4f74b8
Saudi Arabia,Makkah,1400,6,Jumada al-Akhirah,,,,,,,,46b24378aa8eee8d
Saudi Arabia,Makkah,1400,7,Rajab,,,,,,,,6835100446d3ef85
Saudi Arabia,Makkah,1400,8,Shaban,,,,,,,,a517060ef6385a3b
Saudi Arabia,Makkah,1400,9,Ramadan,,,,,,,,9bc78916c5fa404f
Saudi Arabia,Makkah,1400,10,Shawwal,,,,,,,,2397ba1de91c16ea
Saudi Arabia,Makkah,1400,11,Dhu al-Qadah,,,,,,,,ee98775246e25f7a
Saudi Arabia,Makkah,1400,12,Dhu al-Hijjah,,,,,,,,b0ffd5724b22049a
Saudi Arabia,Makkah,1401,1,Muharram,,,,,,,,4a02e3a667d90187
Saudi Arabia,Makkah,1401,2,Safar,,,,,,,,f0de7b945906e26d
Saudi Arabia,Makkah,1401,3,Rabi al-Awwal,,,,,,,,28f2893de11d66c4
Saudi Arabia,Makkah,1401,4,Rabi al-Thani,,,,,,,,f623fd7484a3836e
Saudi Arabia,Makkah,1401,5,Jumada al-Ula,,,,,,,,c731f67704d5cbd5
Saudi Arabia,Makkah,1401,6,Jumada al-Akhirah,,,,,,,,82a1debee95fa115
Saudi Arabia,Makkah,1401,7,Rajab,,,,,,,,827ff7b97f6b173d
Saudi Arabia,Makkah,1401,8,Shaban,,,,,,,,7a4b94be89d3b6b6
Saudi Arabia,Makkah,1401,9,Ramadan,,,,,,,,18802cc32dc54856
Saudi Arabia,Makkah,1401,10,Shawwal,,,,,,,,d0c69a6f85c0714a
Saudi Arabia,Makkah,1401,11,Dhu al-Qadah,,,,,,,,498ee0235302d4c8
Saudi Arabia,Makkah,1401,12,Dhu al-Hijjah,,,,,,,,18de1ffd5f7f77d2
Saudi Arabia,Makkah,1402,1,Muharram,,,,,,,,dbe2e3c7add849ff
Saudi Arabia,Makkah,1402,2,Safar,,,,,,,,40934c5d6b29e121
Saudi Arabia,Makkah,1402,3,Rabi al-Awwal,,,,,,,,dcc0d89dca7f4774
Saudi Arabia,Makkah,1402,4,Rabi al-Thani,,,,,,,,38fc002c58eb4def
Saudi Arabia,Makkah,1402,5,Jumada al-Ula,,,,,,,,fd42cef8c7191cb9
Saudi Arabia,Makkah,1402,6,Jumada al-Akhirah,,,,,,,,b43620c3e661c2a6
Saudi Arabia,Makkah,1402,7,Rajab,,,,,,,,1bc71530173c6b73
Saudi Arabia,Makkah,1402,8,Shaban,,,,,,,,ce14a6849bd4c02b
Saudi Arabia,Makkah,1402,9,Ramadan,,,,,,,,642d069c7a56f59b
Saudi Arabia,Makkah,1402,10,Shawwal,,,,,,,,0da370e2e817efe0
Saudi Arabia,Makkah,1402,11,Dhu al-Qadah,,,,,,,,3a52e12f699fe3da
Saudi Arabia,Makkah,1402,12,Dhu al-Hijjah,,,,,,,,fce8598f74e5b8b2
Saudi Arabia,Makkah,1403,1,Muharram,,,,,,,,e956cbe7dcd83e73
Saudi Arabia,Makkah,1403,2,Safar,,,,,,,,46e75eb604d77b18
Saudi Arabia,Makkah,1403,3,Rabi al-Awwal,,,,,,,,01a47d9c01d57b93
Saudi Arabia,Makkah,1403,4,Rabi al-Thani,,,,,,,,1bc61e30e28b6423
Saudi Arabia,Makkah,1403,5,Jumada al-Ula,,,,,,,,0f08a47ff287ac92
Saudi Arabia,Makkah,1403,6,Jumada al-Akhirah,,,,,,,,bb3c41bbb582fd99
Saudi Arabia,Makkah,1403,7,Rajab,,,,,,,,ca083bba2d126187
Saudi Arabia,Makkah,1403,8,Shaban,,,,,,,,9566552b2defeb3b
Saudi Arabia,Makkah,1403,9,Ramadan,,,,,,,,cc0c89e986e9a870
Saudi Arabia,Makkah,1403,10,Shawwal,,,,,,,,3a9eea62f33216f4
Saudi Arabia,Makkah,1403,11,Dhu al-Qadah,,,,,,,,595cba6bfcfba87d
Saudi Arabia,Makkah,1403,12,Dhu al-Hijjah,,,,,,,,d190a4cba0499780
Saudi Arabia,Makkah,1404,1,Muharram,,,,,,,,91a529a7de6e2610
Saudi Arabia,Makkah,1404,2,Safar,,,,,,,,979ebeb3e5df8cc9
Saudi Arabia,Makkah,1404,3,Rabi al-Awwal,,,,,,,,6143e15598a427ae
Saudi Arabia,Makkah,1404,4,Rabi al-Thani,,,,,,,,dc7bf5aa39e21478
Saudi Arabia,Makkah,1404,5,Jumada al-Ula,,,,,,,,ade8efbbca8cb6a9
Saudi Arabia,Makkah,1404,6,Jumada al-Akhirah,,,,,,,,5abfedd1bf414432
Saudi Arabia,Makkah,1404,7,Rajab,,,,,,,,69f70fad6eeda259
Saudi Arabia,Makkah,1404,8,Shaban,,,,,,,,4731a949b21a8cd6
Saudi Arabia,Makkah,1404,9,Ramadan,,,,,,,,d52913510714f5b7
Saudi Arabia,Makkah,1404,10,Shawwal,,,,,,,,412b5d99079d9591
Saudi Arabia,Makkah,1404,11,Dhu al-Qadah,,,,,,,,2039e1402a7f86a9
Saudi Arabia,Makkah,1404,12,Dhu al-Hijjah,,,,,,,,022b3080529ffdce
Saudi Arabia,Makkah,1405,1,Muharram,,,,,,,,2cb4d714db1f6b4c
Saudi Arabia,Makkah,1405,2,Safar,,,,,,,,7f01ab6d6cd3d321
Saudi Arabia,Makkah,1405,3,Rabi al-Awwal,,,,,,,,fda7d99d815853a3
Saudi Arabia,Makkah,1405,4,Rabi al-Thani,,,,,,,,200fcad06f6460a1
Saudi Arabia,Makkah,1405,5,Jumada al-Ula,,,,,,,,4beba5aba9aacc90
Saudi Arabia,Makkah,1405,6,Jumada al-Akhirah,,,,,,,,8f0445e688659134
Saudi Arabia,Makkah,1405,7,Rajab,,,,,,,,8f5dc2fcdec64200
Saudi Arabia,Makkah,1405,8,Shaban,,,,,,,,514f0aa9c3dfd63f
Saudi Arabia,Makkah,1405,9,Ramadan,,,,,,,,ee8a6b7c85413a5c
Saudi Arabia,Makkah,1405,10,Shawwal,,,,,,,,fa5c06d8b25e45c5
Saudi Arabia,Makkah,1405,11,Dhu al-Qadah,,,,,,,,a57123560f2966a0
Saudi Arabia,Makkah,1405,12,Dhu al-Hijjah,,,,,,,,1c94ad909a0644d4
Saudi Arabia,Makkah,1406,1,Muharram,,,,,,,,8464e1f8dc88f300
Saudi Arabia,Makkah,1406,2,Safar,,,,,,,,56d2c426e186052b
Saudi Arabia,Makkah,1406,3,Rabi al-Awwal,,,,,,,,eb76594b39f4f524
Saudi Arabia,Makkah,1406,4,Rabi al-Thani,,,,,,,,c4fd0eceb507b459
Saudi Arabia,Makkah,1406,5,Jumada al-Ula,,,,,,,,014861dfc4a52618
Saudi Arabia,Makkah,1406,6,Jumada al-Akhirah,,,,,,,,3e404fd3e9bd44e0
Saudi Arabia,Makkah,1406,7,Rajab,,,,,,,,3f9eb5d9f7a6b132
Saudi Arabia,Makkah,1406,8,Shaban,,,,,,,,4f5d8a4a1b037046
Saudi Arabia,Makkah,1406,9,Ramadan,,,,,,,,d5fd520fbf45a173
Saudi Arabia,Makkah,1406,10,Shawwal,,,,,,,,c4062363f47cfc49
Saudi Arabia,Makkah,1406,11,Dhu al-Qadah,,,,,,,,dc249db180208a57
Saudi Arabia,Makkah,1406,12,Dhu al-Hijjah,,,,,,,,066d4c51609f2092
Saudi Arabia,Makkah,1407,1,Muharram,,,,,,,,1ca879fa0d0556b0
Saudi Arabia,Makkah,1407,2,Safar,,,,,,,,9e906373f636daed
Saudi Arabia,Makkah,1407,3,Rabi al-Awwal,,,,,,,,2eaf8540fa10d612
Saudi Arabia,Makkah,1407,4,Rabi al-Thani,,,,,,,,02ec77b94adba641
Saudi Arabia,Makkah,1407,5,Jumada al-Ula,,,,,,,,7012c68e81b526a6
Saudi Arabia,Makkah,1407,6,Jumada al-Akhirah,,,,,,,,dc8b5b87d8399fed
Saudi Arabia,Makkah,1407,7,Rajab,,,,,,,,e5533f8c4a973680
Saudi Arabia,Makkah,1407,8,Shaban,,,,,,,,7d51ba1e5bcee4fd
Saudi Arabia,Makkah,1407,9,Ramadan,,,,,,,,90bc3a3486f41f49
Saudi Arabia,Makkah,1407,10,Shawwal,,,,,,,,37c81f0e0c93fc63
Saudi Arabia,Makkah,1407,11,Dhu al-Qadah,,,,,,,,37903f527518f303
Saudi Arabia,Makkah,1407,12,Dhu al-Hijjah,,,,,,,,de2f7f161a5b4b02
Saudi Arabia,Makkah,1408,1,Muharram,,,,,,,,c8046e0bdc5a9038
Saudi Arabia,Makkah,1408,2,Safar,,,,,,,,aa014a529533227c
Saudi Arabia,Makkah,1408,3,Rabi al-Awwal,,,,,,,,9524f60b28a0de06
Saudi Arabia,Makkah,1408,4,Rabi al-Thani,,,,,,,,d507155128644abf
Saudi Arabia,Makkah,1408,5,Jumada al-Ula,,,,,,,,dd43acefff3f178a
Saudi Arabia,Makkah,1408,6,Jumada al-Akhirah,,,,,,,,8f88b4a25d498a59
Saudi Arabia,Makkah,1408,7,Rajab,,,,,,,,96fcebd8fcb15f61
Saudi Arabia,Makkah,1408,8,Shaban,,,,,,,,4e4f3a89b8ec63f4
Saudi Arabia,Makkah,1408,9,Ramadan,,,,,,,,dfd22e7d5f00e5b9
Saudi Arabia,Makkah,1408,10,Shawwal,,,,,,,,17c090610073b9ed
Saudi Arabia,Makkah,1408,11,Dhu al-Qadah,,,,,,,,64dfcea30616dacb
Saudi Arabia,Makkah,1408,12,Dhu al-Hijjah,,,,,,,,1b38dea6eadec5a5
Saudi Arabia,Makkah,1409,1,Muharram,,,,,,,,883b4ebb29676f82
Saudi Arabia,Makkah,1409,2,Safar,,,,,,,,cd0d37f5d99b69ac
Saudi Arabia,Makkah,1409,3,Rabi al-Awwal,,,,,,,,90cfa20e20df9043
Saudi Arabia,Makkah,1409,4,Rabi al-Thani,,,,,,,,cc4347b68b56f545
Saudi Arabia,Makkah,1409,5,Jumada al-Ula,,,,,,,,3dc86a706935ca73
Saudi Arabia,Makkah,1409,6,Jumada al-Akhirah,,,,,,,,c486c03d25da6d30
Saudi Arabia,Makkah,1409,7,Rajab,,,,,,,,a60e45112a188712
Saudi Arabia,Makkah,1409,8,Shaban,,,,,,,,4862a5a0a3d1b892
Saudi Arabia,Makkah,1409,9,Ramadan,,,,,,,,692351d3f43dc5e8
Saudi Arabia,Makkah,1409,10,Shawwal,,,,,,,,81512eeac16bec01
Saudi Arabia,Makkah,1409,11,Dhu al-Qadah,,,,,,,,ca34dab90f90b477
Saudi Arabia,Makkah,1409,12,Dhu al-Hijjah,,,,,,,,d860f4fa89623815
Saudi Arabia,Makkah,1410,1,Muharram,,,,,,,,0b25d2cfb573d094
Saudi Arabia,Makkah,1410,2,Safar,,,,,,,,a39b9ff8d350291c
Saudi Arabia,Makkah,1410,3,Rabi al-Awwal,,,,,,,,47c5c8a47e22dde0
